x,y,z
353,287,290
354,287,290
355,287,290
343,288,290
344,288,290
345,288,290
346,288,290
347,288,290
348,288,290
349,288,290
350,288,290
351,288,290
352,288,290
353,288,290
354,288,290
355,288,290
356,288,290
343,289,290
344,289,290
345,289,290
346,289,290
347,289,290
348,289,290
349,289,290
350,289,290
351,289,290
352,289,290
353,289,290
354,289,290
355,289,290
356,289,290
344,290,290
345,290,290
346,290,290
347,290,290
348,290,290
349,290,290
350,290,290
351,290,290
352,290,290
353,290,290
354,290,290
355,290,290
356,290,290
344,291,290
345,291,290
346,291,290
347,291,290
348,291,290
349,291,290
350,291,290
351,291,290
352,291,290
353,291,290
354,291,290
355,291,290
356,291,290
345,292,290
346,292,290
347,292,290
348,292,290
349,292,290
350,292,290
351,292,290
352,292,290
353,292,290
354,292,290
355,292,290
356,292,290
346,293,290
347,293,290
348,293,290
349,293,290
350,293,290
351,293,290
352,293,290
353,293,290
354,293,290
355,293,290
356,293,290
347,294,290
348,294,290
349,294,290
350,294,290
351,294,290
352,294,290
353,294,290
354,294,290
355,294,290
356,294,290
348,295,290
349,295,290
350,295,290
351,295,290
352,295,290
353,295,290
354,295,290
355,295,290
356,295,290
350,296,290
351,296,290
352,296,290
353,296,290
354,296,290
346,282,291
347,282,291
348,282,291
349,282,291
350,282,291
351,282,291
345,283,291
346,283,291
347,283,291
348,283,291
349,283,291
350,283,291
351,283,291
352,283,291
344,284,291
345,284,291
346,284,291
347,284,291
348,284,291
349,284,291
350,284,291
351,284,291
352,284,291
353,284,291
344,285,291
345,285,291
346,285,291
347,285,291
348,285,291
349,285,291
350,285,291
351,285,291
352,285,291
353,285,291
354,285,291
344,286,291
345,286,291
346,286,291
347,286,291
348,286,291
349,286,291
350,286,291
351,286,291
352,286,291
353,286,291
354,286,291
355,286,291
344,287,291
345,287,291
346,287,291
347,287,291
348,287,291
349,287,291
350,287,291
351,287,291
352,287,291
353,287,291
354,287,291
355,287,291
356,287,291
344,288,291
345,288,291
346,288,291
347,288,291
348,288,291
349,288,291
350,288,291
351,288,291
352,288,291
353,288,291
354,288,291
355,288,291
356,288,291
344,289,291
345,289,291
346,289,291
347,289,291
348,289,291
349,289,291
350,289,291
351,289,291
352,289,291
353,289,291
354,289,291
355,289,291
356,289,291
344,290,291
345,290,291
346,290,291
347,290,291
348,290,291
349,290,291
350,290,291
351,290,291
352,290,291
353,290,291
354,290,291
355,290,291
356,290,291
357,290,291
345,291,291
346,291,291
347,291,291
348,291,291
349,291,291
350,291,291
351,291,291
352,291,291
353,291,291
354,291,291
355,291,291
356,291,291
357,291,291
345,292,291
346,292,291
347,292,291
348,292,291
349,292,291
350,292,291
351,292,291
352,292,291
353,292,291
354,292,291
355,292,291
356,292,291
357,292,291
346,293,291
347,293,291
348,293,291
349,293,291
350,293,291
351,293,291
352,293,291
353,293,291
354,293,291
355,293,291
356,293,291
357,293,291
347,294,291
348,294,291
349,294,291
350,294,291
351,294,291
352,294,291
353,294,291
354,294,291
355,294,291
356,294,291
357,294,291
348,295,291
349,295,291
350,295,291
351,295,291
352,295,291
353,295,291
354,295,291
355,295,291
356,295,291
349,296,291
350,296,291
351,296,291
352,296,291
353,296,291
354,296,291
355,296,291
352,297,291
353,297,291
346,283,292
347,283,292
348,283,292
349,283,292
350,283,292
351,283,292
352,283,292
345,284,292
346,284,292
347,284,292
348,284,292
349,284,292
350,284,292
351,284,292
352,284,292
353,284,292
345,285,292
346,285,292
347,285,292
348,285,292
349,285,292
350,285,292
351,285,292
352,285,292
353,285,292
354,285,292
345,286,292
346,286,292
347,286,292
348,286,292
349,286,292
350,286,292
351,286,292
352,286,292
353,286,292
354,286,292
355,286,292
345,287,292
346,287,292
347,287,292
348,287,292
349,287,292
350,287,292
351,287,292
352,287,292
353,287,292
354,287,292
355,287,292
356,287,292
345,288,292
346,288,292
347,288,292
348,288,292
349,288,292
350,288,292
351,288,292
352,288,292
353,288,292
354,288,292
355,288,292
356,288,292
345,289,292
346,289,292
347,289,292
348,289,292
349,289,292
350,289,292
351,289,292
352,289,292
353,289,292
354,289,292
355,289,292
356,289,292
357,289,292
345,290,292
346,290,292
347,290,292
348,290,292
349,290,292
350,290,292
351,290,292
352,290,292
353,290,292
354,290,292
355,290,292
356,290,292
357,290,292
345,291,292
346,291,292
347,291,292
348,291,292
349,291,292
350,291,292
351,291,292
352,291,292
353,291,292
354,291,292
355,291,292
356,291,292
357,291,292
346,292,292
347,292,292
348,292,292
349,292,292
350,292,292
351,292,292
352,292,292
353,292,292
354,292,292
355,292,292
356,292,292
357,292,292
346,293,292
347,293,292
348,293,292
349,293,292
350,293,292
351,293,292
352,293,292
353,293,292
354,293,292
355,293,292
356,293,292
357,293,292
347,294,292
348,294,292
349,294,292
350,294,292
351,294,292
352,294,292
353,294,292
354,294,292
355,294,292
356,294,292
357,294,292
348,295,292
349,295,292
350,295,292
351,295,292
352,295,292
353,295,292
354,295,292
355,295,292
356,295,292
357,295,292
349,296,292
350,296,292
351,296,292
352,296,292
353,296,292
354,296,292
355,296,292
356,296,292
351,297,292
352,297,292
353,297,292
354,297,292
355,297,292
347,284,293
348,284,293
349,284,293
350,284,293
351,284,293
352,284,293
353,284,293
346,285,293
347,285,293
348,285,293
349,285,293
350,285,293
351,285,293
352,285,293
353,285,293
354,285,293
346,286,293
347,286,293
348,286,293
349,286,293
350,286,293
351,286,293
352,286,293
353,286,293
354,286,293
355,286,293
346,287,293
347,287,293
348,287,293
349,287,293
350,287,293
351,287,293
352,287,293
353,287,293
354,287,293
355,287,293
356,287,293
346,288,293
347,288,293
348,288,293
349,288,293
350,288,293
351,288,293
352,288,293
353,288,293
354,288,293
355,288,293
356,288,293
346,289,293
347,289,293
348,289,293
349,289,293
350,289,293
351,289,293
352,289,293
353,289,293
354,289,293
355,289,293
356,289,293
357,289,293
346,290,293
347,290,293
348,290,293
349,290,293
350,290,293
351,290,293
352,290,293
353,290,293
354,290,293
355,290,293
356,290,293
357,290,293
346,291,293
347,291,293
348,291,293
349,291,293
350,291,293
351,291,293
352,291,293
353,291,293
354,291,293
355,291,293
356,291,293
357,291,293
358,291,293
346,292,293
347,292,293
348,292,293
349,292,293
350,292,293
351,292,293
352,292,293
353,292,293
354,292,293
355,292,293
356,292,293
357,292,293
358,292,293
347,293,293
348,293,293
349,293,293
350,293,293
351,293,293
352,293,293
353,293,293
354,293,293
355,293,293
356,293,293
357,293,293
358,293,293
348,294,293
349,294,293
350,294,293
351,294,293
352,294,293
353,294,293
354,294,293
355,294,293
356,294,293
357,294,293
358,294,293
349,295,293
350,295,293
351,295,293
352,295,293
353,295,293
354,295,293
355,295,293
356,295,293
357,295,293
350,296,293
351,296,293
352,296,293
353,296,293
354,296,293
355,296,293
356,296,293
357,296,293
351,297,293
352,297,293
353,297,293
354,297,293
355,297,293
356,297,293
349,284,294
348,285,294
349,285,294
350,285,294
351,285,294
352,285,294
353,285,294
347,286,294
348,286,294
349,286,294
350,286,294
351,286,294
352,286,294
353,286,294
354,286,294
355,286,294
347,287,294
348,287,294
349,287,294
350,287,294
351,287,294
352,287,294
353,287,294
354,287,294
355,287,294
347,288,294
348,288,294
349,288,294
350,288,294
351,288,294
352,288,294
353,288,294
354,288,294
355,288,294
356,288,294
347,289,294
348,289,294
349,289,294
350,289,294
351,289,294
352,289,294
353,289,294
354,289,294
355,289,294
356,289,294
357,289,294
347,290,294
348,290,294
349,290,294
350,290,294
351,290,294
352,290,294
353,290,294
354,290,294
355,290,294
356,290,294
357,290,294
347,291,294
348,291,294
349,291,294
350,291,294
351,291,294
352,291,294
353,291,294
354,291,294
355,291,294
356,291,294
357,291,294
358,291,294
347,292,294
348,292,294
349,292,294
350,292,294
351,292,294
352,292,294
353,292,294
354,292,294
355,292,294
356,292,294
357,292,294
358,292,294
348,293,294
349,293,294
350,293,294
351,293,294
352,293,294
353,293,294
354,293,294
355,293,294
356,293,294
357,293,294
358,293,294
348,294,294
349,294,294
350,294,294
351,294,294
352,294,294
353,294,294
354,294,294
355,294,294
356,294,294
357,294,294
358,294,294
349,295,294
350,295,294
351,295,294
352,295,294
353,295,294
354,295,294
355,295,294
356,295,294
357,295,294
358,295,294
350,296,294
351,296,294
352,296,294
353,296,294
354,296,294
355,296,294
356,296,294
357,296,294
351,297,294
352,297,294
353,297,294
354,297,294
355,297,294
356,297,294
357,297,294
349,286,295
350,286,295
351,286,295
352,286,295
353,286,295
354,286,295
348,287,295
349,287,295
350,287,295
351,287,295
352,287,295
353,287,295
354,287,295
355,287,295
348,288,295
349,288,295
350,288,295
351,288,295
352,288,295
353,288,295
354,288,295
355,288,295
356,288,295
348,289,295
349,289,295
350,289,295
351,289,295
352,289,295
353,289,295
354,289,295
355,289,295
356,289,295
357,289,295
348,290,295
349,290,295
350,290,295
351,290,295
352,290,295
353,290,295
354,290,295
355,290,295
356,290,295
357,290,295
348,291,295
349,291,295
350,291,295
351,291,295
352,291,295
353,291,295
354,291,295
355,291,295
356,291,295
357,291,295
358,291,295
348,292,295
349,292,295
350,292,295
351,292,295
352,292,295
353,292,295
354,292,295
355,292,295
356,292,295
357,292,295
358,292,295
349,293,295
350,293,295
351,293,295
352,293,295
353,293,295
354,293,295
355,293,295
356,293,295
357,293,295
358,293,295
349,294,295
350,294,295
351,294,295
352,294,295
353,294,295
354,294,295
355,294,295
356,294,295
357,294,295
358,294,295
350,295,295
351,295,295
352,295,295
353,295,295
354,295,295
355,295,295
356,295,295
357,295,295
358,295,295
351,296,295
352,296,295
353,296,295
354,296,295
355,296,295
356,296,295
357,296,295
358,296,295
352,297,295
353,297,295
354,297,295
355,297,295
356,297,295
357,297,295
351,287,296
352,287,296
353,287,296
350,288,296
351,288,296
352,288,296
353,288,296
354,288,296
355,288,296
349,289,296
350,289,296
351,289,296
352,289,296
353,289,296
354,289,296
355,289,296
356,289,296
349,290,296
350,290,296
351,290,296
352,290,296
353,290,296
