Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
955907365,22,0,15947.66406,1334.39844,209.24219,60.17578,0,1026.78516,30.57031,24.70703,0,0,0,2925.73438,174.73242,174.47656,0,0,0,0
955910035,378,0,10519.55078,1128.15625,337.91797,342.46875,0,1153.39063,810.03516,808.72852,0,0,0,3537.42969,12947.47461,13001.46875,0,0,1,0
955913479,96,0,10523.69141,2189.99609,12344.44531,6079.3125,0,1145.17969,5.6875,9.38867,42.92582,0,0,3195.87891,23.99609,24.25781,0,0,0,0
955915152,6,0,14084.89453,51.41797,69.69531,26.17969,0,1085.22266,7.36914,0,13187.42676,0,0,3691.44922,12.26758,9.20898,0,0,0,0
955916834,6,0,10275.43359,52.51172,68.46875,25.09766,0,1389.55078,0.67188,0,26074.37109,0,0,3427.66797,8.29297,8.53516,0,0,0,0
955923220,153,0,10180.21484,60.375,4890.07813,9266.3125,0,1842.37891,21.51563,21.5625,23204.47461,0,0,3527.87891,1937.08203,1945.29688,0,0,0,0
955923474,102,0,15941.40625,56.89844,90.29688,153.56641,0,976.07422,22946.33203,66190.04688,425168.0313,0,1,2823.05078,5.55859,7.36719,0,0,0,0
955926091,96,0,12269.625,2430.33594,12988.60156,6498.80078,0,1096.49219,3.30859,4.35742,0,0,0,3605.46484,33.04297,38.72266,0,0,0,0
955940866,374,0,13582.26953,612.77734,1595.46094,8655.62109,0,1094.78125,130.6875,134.90039,0,0,0,3353.61719,4.75977,0,0,0,0,0
955961887,22,0,10393.90625,1219.94922,194.77344,53.67188,0,1743.55469,28.57031,33.60156,36511.48047,0,0,3533.15234,184.61133,184.22461,0,0,0,0
955962917,71,0,15711.05078,66.64063,5418.26563,2427.42578,0,1203.03125,25280.29492,193216.7188,1279388.875,0,1,3124.03516,9.19922,8.89453,0,0,0,0
955980087,81,0,13077.52344,23154.29297,5572.16016,1784.3125,0,1021.69531,20.91406,24.39258,0,0,0,3680.91797,19642.95508,23814.97266,0,0,1,0
955990505,71,0,10714.89844,58.1875,4823.56641,2118.22656,0,1251.73047,24852.82227,175652.4375,1148771.75,0,1,3199.63672,4.72266,0.13477,0,0,0,0
955994274,71,0,15166.73828,64.71875,5312.97656,2330.64063,0,1287.26953,25227.00586,203796.3125,1290880.75,0,1,3306.41406,12.41016,15.72266,0,0,0,0
955999828,81,0,11545.5,25472.86719,6783.44141,2282.17969,0,1805.76172,40.5,40.29492,0,0,0,2830.62109,19274.80469,22226.04102,0,0,1,0
956007073,6,0,10109.51563,49.84375,67.81641,26.01563,0,1512.96094,6.36719,10.73633,13150.63281,0,0,3270.46484,8.76367,17.20508,0,0,0,0
956011277,6,0,10652.37891,53.30859,70.55469,25.95703,0,1788.46094,7.33789,8.93945,0,0,0,3166.25781,12.41797,13.47656,0,0,0,0
956013120,374,0,10647.70313,659.78125,1700.73828,8739.01563,0,1735.76953,131.06836,128.11719,8879.51367,0,0,3885.49609,4.43359,6.55859,0,0,0,0
956015114,352,0,16767.39063,736.69922,1491.61328,2961.29688,0,1069.08203,9463.82813,9464.5,50425.57813,0,0,2748.45703,0.68359,1.21289,0,0,0,0
956022890,102,0,11185.89063,58.10938,93.47266,156.14453,0,1108.77344,22874.67578,74412.36719,468271.6875,0,1,3740.29297,10.375,17.51953,0,0,0,0
956059840,22,0,8874.72656,1079.78516,172.80078,49.04688,0,910.35938,25.14258,22.82031,5105.10693,0,0,2872.43359,175.77734,175.46484,0,0,0,0
956065272,22,0,10496.11719,1212.94531,190.625,55.46484,0,1826.39844,20.08398,16.98047,0,0,0,2934.89844,140.57617,138.94336,0,0,0,0
956072652,102,0,15051.125,59.79297,92.02734,154.61719,0,1081.73047,22982.59961,63860.26563,371829.625,0,1,3565.96875,10.95508,12.66797,0,0,0,0
956073467,153,0,12975.20313,61.78906,4980.95703,9355.90234,0,1142.80469,19.64648,19.54102,0,0,0,3698.36328,1572.75,1580.26172,0,0,0,0
956090484,374,0,12356.27344,701.08203,1790.83984,9240.90234,0,1083.24219,188.91211,188.80664,0,0,0,4647.53906,3.2207,0,0,0,0,0
956102367,378,0,14097.27344,1216.90234,354.98828,370.46484,0,1029.65234,873.11523,878.62695,0,0,0,4073.5625,13519.73633,13579.79297,0,0,1,0
956117122,378,0,10345.60156,1069.13281,313.59766,322.17969,0,1137.69141,745.29688,740.62695,49005.96094,0,0,3066.5625,11226.24414,11264.02539,0,0,0,0
956123339,71,0,12786.10156,59.53516,4842.26953,2110.03906,0,1171.19922,25074.55469,193039.8594,1288081.375,0,1,3581.44531,6.36133,3.36914,0,0,0,0
956127576,0,1,6875.02344,33.13672,42.07031,0,0,863.85156,0,0,0,0,0,2055.39844,5.79688,11.27539,0,0,0,0
956127685,0,0,8900.25781,0,0,0,0,755.97656,18530.56445,65993.42188,429285.8438,0,1,1655.24219,4.03906,2.06641,0,0,0,0
956128222,102,0,10884.54688,61.01563,91.29297,170.12109,0,1858.70313,23489.85938,78195.95313,486895.3438,0,1,3487.21484,10.57617,8.40039,0,0,0,0
956150245,102,0,16554.73828,61.99609,94.04297,159.91406,0,1027.38281,23543.52539,79467.5625,519896.125,0,1,3214.26953,11.95508,16.57617,0,0,0,0
956165559,378,0,10840.92578,1251.33594,367.49219,371.64453,0,1101.91016,976.38672,980.73438,28895.21289,0,0,3426.19922,15191.33594,15251.11133,0,0,1,0
956168721,81,0,14746.12109,22755.23047,5352.95313,1714.88672,0,1048.10938,44.0293,43.66406,27046.33594,0,0,3463.93359,20713.38867,27063.09375,0,0,1,0
956200300,96,0,10886.53906,2276.61719,12344.80469,6009.41406,0,1755.93359,9.34766,13.47656,0,0,0,3388.26953,25.24219,24.93164,0,0,0,0
956202838,153,0,11062.94922,59.92188,4762.00781,8792.62891,0,1768.21875,9.33398,7.95117,5138.83447,0,0,3601,1673.2207,1682.86328,0,0,0,0
956203069,153,0,12903.78906,63.21094,5231.54688,9624.70703,0,1046.07813,37.19727,22.37109,0,0,0,4007.27734,2018.33008,2026.15625,0,0,0,0
956211064,352,0,14777.47266,671.05469,1359.72266,2722,0,1015.72266,8897.10156,8892.46484,38412.48047,0,0,3221.87109,7.22461,7.95117,0,0,0,0
956212422,102,0,10792.42969,56.125,91.62109,152.06641,0,1805.35938,23126.08984,68610.53125,424183.7813,0,1,3533.44141,4.55469,2.74023,0,0,0,0
956217349,81,0,11176.125,22473.00781,5252.44531,1691.98438,0,1194.76172,59.39063,52.46875,10047.70898,0,0,2709.97656,20374.92773,25321.06836,0,0,1,0
956233162,374,0,10023.45313,602.85156,1497.08594,7708.65625,0,1023.26172,117.7168,111.90039,40899.11328,0,0,3467.55078,3.01758,0,0,0,0,0
956233837,96,0,12603.88281,2211.49609,12085.32422,6011.44141,0,1178.40625,14.02539,9.11914,0,0,0,2774.17188,24.75586,22.46094,0,0,0,0
956245414,378,0,8849.48438,1003.46875,297.24219,300.63281,0,1270,785.9375,786.35742,0,0,0,3429.03906,11843.5957,11875.09766,0,0,1,0
956250154,6,0,10869.03125,53.62109,71.23828,26.06641,0,1586.95313,23.20313,18.14844,0,0,0,3217.57813,5.73633,2.33594,0,0,0,0
956264494,500,0,8962.58594,9810.55078,5958.91406,7071.10156,0,1145.51172,1.62695,6.51367,0,0,0,2909.60156,4.90039,2.24609,0,0,0,0
956266209,500,0,10298.33594,12037.89844,7383.21875,8752.24609,0,1822.37891,11.46484,9.88281,29299.94141,0,0,3810.76953,9.03906,9.97266,0,0,0,0
956281753,102,0,11389.90234,54.54688,87.97266,142.20313,0,1835.58984,23185.46875,63667.28125,423454.0625,0,1,3409.79688,6.91016,6.33398,0,0,0,0
956286439,153,0,11443.91016,63.59375,5001.25391,9085.80469,0,1093.64844,9.46094,9.38867,14738.88867,0,0,3665.97266,1897.22461,1909.04492,0,0,0,0
956295641,378,0,10548.69141,1152.89063,334.57422,344.08203,0,1428.25391,690.53906,695.92969,38185.58594,0,0,3044.94531,11893.96289,11922.44531,0,0,0,0
956299619,102,0,12639.91406,53.32031,83.61719,140.48438,0,984.30469,22944.68359,66692.22656,452012,0,1,3302.6875,7.21289,8.49023,0,0,0,0
956315053,22,0,8701.17578,1114.02344,176.23047,48.23047,0,1450.17188,27.61133,27.76172,47807.10547,0,0,2193.02344,172.73633,175.19531,0,0,0,0
956319854,71,0,11745.86719,63.38672,5047.95703,2236.51953,0,1215.68359,25198.52148,172608.8906,1075448.25,0,1,3254.75391,8.19531,3.14453,0,0,0,0
956323263,0,1,17991.02344,1451.125,232.48047,64.84375,0,1062.83594,16.56641,25.74023,19865.45898,0,0,3661.22266,171.64648,170.92773,0,0,0,0
956342167,6,0,16499.24609,57.33594,77.25781,27.69922,0,1047.125,0,0,0,0,0,2853.21875,7.36133,6.73828,0,0,0,0
956342669,374,0,13289.54297,706.4375,1770.82031,9180.20313,0,1171.61719,143.0332,147.74805,29839.58008,0,0,4105.23047,8.28711,7.99609,0,0,0,0
956349113,378,0,15390.22266,1151.89844,340.0625,349.65625,0,1073.83203,777.85742,782.22461,0,0,0,3202.16016,11018.875,11056.48633,0,0,0,0
956356526,374,0,10394.24219,672.71094,1649.61719,9012.41016,0,1353.96484,115.98047,113.42773,8545.30469,0,0,3497.08984,0.98047,2.38086,0,0,0,0
956358865,71,0,7863.33594,56.05859,3856.19531,1666.67188,0,1239.14063,24965.49023,181621.8438,1222082.875,0,1,3062.92188,5.45898,3.36914,0,0,0,0
956362888,96,0,10346.26563,2318.82422,13061.62891,6455.11328,0,1867.5625,4.11523,2.20117,14450.67188,0,0,4045.77344,33.41406,33.78125,0,0,0,0
956369105,71,0,12529.49609,57.19141,4857.44531,2122.20703,0,1011.37109,25011.71484,182751.5313,1214494.25,0,1,3809.19141,12.91992,15.72266,0,0,0,0
956369518,71,0,10525.23438,68.55078,5436.98047,2517.05078,0,958.37891,25973.31055,298469.9375,1976706.625,0,1,2985.09375,5.17578,1.52734,0,0,0,0
956381067,374,0,16309.17188,672.46484,1746.69922,9960.50781,0,1050.73047,163.00586,163.51563,29520.70313,0,0,3530.04297,5.12109,4.85156,0,0,0,0
956398687,22,0,12600.80078,904.375,144.92969,42.70703,0,922.98047,28.40625,27.85156,32884.24609,0,0,3688.08594,106.67578,106.55469,0,0,0,0
956399102,6,0,11353.09375,53,66.96875,25.53516,0,1123.51953,14.94727,19.63086,0,0,0,3643.9375,18.21875,18.01367,0,0,0,0
956401554,71,0,11967.39063,59.03516,4871.35547,2116.55469,0,972.55078,24935.63867,182194.3594,1163136.5,0,1,4076.57422,5.68555,7.05273,0,0,0,0
956404808,22,0,11990.61328,1389.39453,219.57813,63.41797,0,1978.48047,48.90625,46.98828,19635.49805,0,0,3500.80078,176.68555,180.40625,0,0,0,0
956424587,6,0,10367.80859,53.26953,70.55469,27.66016,0,1519.99609,5.05859,6.19922,3817.33228,0,0,4441.98047,9.06641,11.9043,0,0,0,0
956430240,22,0,11522.17578,1287.16797,202.87109,54.89453,0,1258.87109,43.51172,43.03516,18473.43555,0,0,3032.69141,182.11133,177.71094,0,0,0,0
956440899,374,0,8893.10156,567.02734,1437.41016,7416.87891,0,1107.26953,85.22461,85.66602,11458.12891,0,0,2946.37109,4.56836,3.45898,0,0,0,0
956443704,374,0,14294.01563,671.23828,1705.4375,8690.64844,0,1053.89453,143.33008,151.43164,10004.7832,0,0,3029.08594,6.52344,7.68164,0,0,0,0
956461148,0,1,1651.24219,0.16016,0,0,0,292.08203,7.0293,12.84766,2851.50122,0,0,2340.30469,0,0,0,0,0,0
956464349,500,0,11354.42578,12071.03516,7444.16406,8997.06641,0,1161.36719,12.67773,15.54297,49901.26953,0,0,3782.78516,5.09766,10.51172,0,0,0,0
956468143,96,0,13896.31641,2195.36328,12798.47266,6445.84375,0,912.41797,1.9707,0,0,0,0,3536.69922,24.63477,23.35938,0,0,0,0
956469610,96,0,14651.19922,2439.70313,13085.99219,6636.09375,0,1125.81641,13.52148,11.99414,1247.91504,0,0,3372.72656,30.34766,34.67969,0,0,0,0
956488924,71,0,9793.35156,55.61328,4639.12891,1989.54688,0,1123.31641,24926.37891,187730.3125,1206160.5,0,1,3316.54688,2.92383,0,0,0,0,0
956493531,6,0,11990.86328,53.24219,69.27734,25.12891,0,1057.64063,5.44141,2.56055,0,0,0,3690.70313,6.66602,9.70313,0,0,0,0
956498526,22,0,10975.26953,1208.07422,191.47266,51.55859,0,1020.4375,14.35352,10.82617,18724.85742,0,0,3182.45313,155.72656,156.32813,0,0,0,0
956501605,352,0,14893.51953,729.00781,1505.44141,3004.53906,0,1112.05469,9573.19531,9579.32031,81399.625,0,0,3906.36328,9.69727,12.75781,0,0,0,0
956510137,81,0,15625.35938,22852.79688,5191.64063,1653.48438,0,1038.60156,29.51367,35.89258,0,0,0,3041.65234,18974.97266,21875.24609,0,0,1,0
956521657,500,0,10651.08984,10508.8125,6375.99219,7526.39063,0,843.73438,0.62305,0.94336,28974.93164,0,0,2709.83203,9.94531,12.84766,0,0,0,0
956542221,378,0,9972.82031,1105.31641,328.55859,330.36328,0,1351.5625,862.80859,864.20703,0,0,0,3207.41406,13541.73047,13579.11914,0,0,1,0
956561922,71,0,12977.6875,63.49609,4872.85156,2107.3125,0,1016.91016,24721.40234,159376.75,1029885.563,0,1,4470.37891,5.02344,7.63672,0,0,0,0
956565116,6,0,15881.05469,58.92969,76.26172,27.70703,0,1076.58984,0.69531,0,19994.23633,0,0,3280.375,8.45508,9.07422,0,0,0,0
956568619,102,0,10829.87891,56.27344,88.33594,148.21875,0,1538.73047,23092.91016,70408.97656,466226.5625,0,1,3732.91016,9.42969,6.42383,0,0,0,0
956570365,378,0,10944.55859,1176.88281,341.87109,351.87891,0,1937.39453,944.58203,945.15625,21873.77344,0,0,3601.64063,14601.95898,14645.11523,0,0,1,0
956572118,96,0,14390.78125,2441.41406,13545.46484,6780.74609,0,1106.42969,5.01758,7.90625,0,0,0,2913.14453,35.91211,32.70313,0,0,0,0
956573727,374,0,15796.08594,656.01953,1709.42969,9688.17969,0,887.17188,118.97266,122.09766,0,0,0,3615.625,9,11.72461,0,0,0,0
956598846,6,0,10271.75781,53.55859,71.07813,26.67188,0,1572.80078,0.88477,0,0,0,0,3960.67969,6.95508,7.36719,0,0,0,0
956603412,500,0,10921.63672,12231.62891,7348,8743.48047,0,1387.12109,6.3125,5.43555,33203.125,0,0,2963.55078,10.30078,12.39844,0,0,0,0
956614007,71,0,10086.04688,60.67578,4980.25,2182.65234,0,2020.41016,25132.20898,200828.7656,1285052,0,1,3172.71094,7.92773,6.60352,0,0,0,0
956620403,0,1,17585.12109,1247.97266,366.14063,380.26563,0,1048.34766,895.04102,893.85547,0,0,0,3319.50391,13674.63281,13714.82813,0,0,1,0
956621523,500,0,15778.64063,13181.82031,8012.33984,9446.84766,0,1021.65625,9.82422,11.9043,0,0,0,3484.83203,5.93359,11.27539,0,0,0,0
956646820,96,0,11467.48438,2320.61328,12846.51953,6313.28906,0,1239.19531,0,0,38847.87109,0,0,3517.44141,24.34375,26.23438,0,0,0,0
956648128,81,0,10611.91016,18532.82422,4276.14063,1369.91797,0,1014.86719,41.03516,40.51953,3777.47241,0,0,2840.71484,18528.88086,20815.13477,0,0,1,0
956651272,153,0,10780.5,64.57031,5021.76172,10009.30078,0,1363.67969,17.45703,14.24023,0,0,0,2998.07813,1651.24023,1654.33789,0,0,0,0
956664704,153,0,13037.46484,64.3125,5190.13672,10306.21094,0,1027.30078,4.67578,5.92969,0,0,0,3474.48438,1390,1397.83398,0,0,0,0
956672010,96,0,11203.67578,1871.14063,10365.28906,5158.51953,0,1038.5,8.79688,14.15039,0,0,0,2481.77344,23.38672,32.70313,0,0,0,0
